region,cell_type_label,biosample_type,biosample_life_stage,ontology_curie,biosample_name,output_type,data_source,histone_mark,transcription_factor,track_name,included_in_run,exclusion_reason
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,CHIP_HISTONE,encode,H3K4me2,,CL:0000047 Histone ChIP-seq H3K4me2,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,CHIP_HISTONE,encode,H3K4me3,,CL:0000047 Histone ChIP-seq H3K4me3,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,CHIP_HISTONE,encode,H3K9me3,,CL:0000047 Histone ChIP-seq H3K9me3,False,"cell type, no brain-region anchor — DROPPED per spec"
—,motor neuron (spinal-cord lineage),in_vitro_differentiated_cells,adult,CL:0000100,motor neuron,CHIP_HISTONE,encode,H3K27ac,,CL:0000100 Histone ChIP-seq H3K27ac,False,"cell type, no brain-region anchor — DROPPED per spec"
—,motor neuron (spinal-cord lineage),in_vitro_differentiated_cells,adult,CL:0000100,motor neuron,CHIP_HISTONE,encode,H3K4me1,,CL:0000100 Histone ChIP-seq H3K4me1,False,"cell type, no brain-region anchor — DROPPED per spec"
—,motor neuron (spinal-cord lineage),in_vitro_differentiated_cells,adult,CL:0000100,motor neuron,CHIP_HISTONE,encode,H3K4me3,,CL:0000100 Histone ChIP-seq H3K4me3,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,CHIP_HISTONE,encode,H2AFZ,,CL:0000127 Histone ChIP-seq H2AFZ,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,CHIP_HISTONE,encode,H3K27ac,,CL:0000127 Histone ChIP-seq H3K27ac,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,CHIP_HISTONE,encode,H3K27me3,,CL:0000127 Histone ChIP-seq H3K27me3,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,CHIP_HISTONE,encode,H3K36me3,,CL:0000127 Histone ChIP-seq H3K36me3,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,CHIP_HISTONE,encode,H3K4me1,,CL:0000127 Histone ChIP-seq H3K4me1,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,CHIP_HISTONE,encode,H3K4me2,,CL:0000127 Histone ChIP-seq H3K4me2,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,CHIP_HISTONE,encode,H3K4me3,,CL:0000127 Histone ChIP-seq H3K4me3,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,CHIP_HISTONE,encode,H3K79me2,,CL:0000127 Histone ChIP-seq H3K79me2,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,CHIP_HISTONE,encode,H3K9ac,,CL:0000127 Histone ChIP-seq H3K9ac,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,CHIP_HISTONE,encode,H4K20me1,,CL:0000127 Histone ChIP-seq H4K20me1,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuron (generic),in_vitro_differentiated_cells,embryonic,CL:0000540,neuron,CHIP_HISTONE,encode,H2AFZ,,CL:0000540 Histone ChIP-seq H2AFZ,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuron (generic),in_vitro_differentiated_cells,embryonic,CL:0000540,neuron,CHIP_HISTONE,encode,H3K27me3,,CL:0000540 Histone ChIP-seq H3K27me3,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuron (generic),in_vitro_differentiated_cells,embryonic,CL:0000540,neuron,CHIP_HISTONE,encode,H3K36me3,,CL:0000540 Histone ChIP-seq H3K36me3,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuron (generic),in_vitro_differentiated_cells,embryonic,CL:0000540,neuron,CHIP_HISTONE,encode,H3K4me1,,CL:0000540 Histone ChIP-seq H3K4me1,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuron (generic),in_vitro_differentiated_cells,embryonic,CL:0000540,neuron,CHIP_HISTONE,encode,H3K4me3,,CL:0000540 Histone ChIP-seq H3K4me3,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte of the cerebellum,primary_cell,unknown,CL:0002603,astrocyte of the cerebellum,CHIP_HISTONE,encode,H3K4me3,,CL:0002603 Histone ChIP-seq H3K4me3,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte of the spinal cord,primary_cell,unknown,CL:0002606,astrocyte of the spinal cord,CHIP_HISTONE,encode,H3K4me3,,CL:0002606 Histone ChIP-seq H3K4me3,False,"cell type, no brain-region anchor — DROPPED per spec"
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,CHIP_HISTONE,encode,H3K27ac,,UBERON:0009834 Histone ChIP-seq H3K27ac,True,
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,CHIP_HISTONE,encode,H3K27me3,,UBERON:0009834 Histone ChIP-seq H3K27me3,True,
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,CHIP_HISTONE,encode,H3K36me3,,UBERON:0009834 Histone ChIP-seq H3K36me3,True,
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,CHIP_HISTONE,encode,H3K4me1,,UBERON:0009834 Histone ChIP-seq H3K4me1,True,
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,CHIP_HISTONE,encode,H3K4me3,,UBERON:0009834 Histone ChIP-seq H3K4me3,True,
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,CHIP_HISTONE,encode,H3K9ac,,UBERON:0009834 Histone ChIP-seq H3K9ac,True,
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,CHIP_TF,encode,,CTCF,CL:0000127 TF ChIP-seq CTCF,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,CHIP_TF,encode,,EZH2,CL:0000127 TF ChIP-seq EZH2,False,"cell type, no brain-region anchor — DROPPED per spec"
—,glutamatergic neuron (in vitro),in_vitro_differentiated_cells,adult,CL:0000679,glutamatergic neuron,CHIP_TF,encode,,CTCF,CL:0000679 TF ChIP-seq CTCF,False,"cell type, no brain-region anchor — DROPPED per spec"
—,glutamatergic neuron (in vitro),in_vitro_differentiated_cells,unknown,CL:0000679,glutamatergic neuron,CHIP_TF,encode,,EGR1,"CL:0000679 TF ChIP-seq EGR1 male adult (30 years) genetically modified (insertion) using CRISPR targeting H. sapiens EGR1, genetically modified (insertion) using TALEN inserting M. musculus Neurog2",False,"cell type, no brain-region anchor — DROPPED per spec"
—,glutamatergic neuron (in vitro),in_vitro_differentiated_cells,unknown,CL:0000679,glutamatergic neuron,CHIP_TF,encode,,FOSL1,"CL:0000679 TF ChIP-seq FOSL1 male adult (30 years) genetically modified (insertion) using CRISPR targeting H. sapiens FOSL1, genetically modified (insertion) using TALEN inserting M. musculus Neurog2",False,"cell type, no brain-region anchor — DROPPED per spec"
—,glutamatergic neuron (in vitro),in_vitro_differentiated_cells,unknown,CL:0000679,glutamatergic neuron,CHIP_TF,encode,,ID3,"CL:0000679 TF ChIP-seq ID3 male adult (30 years) genetically modified (insertion) using CRISPR targeting H. sapiens ID3, genetically modified (insertion) using TALEN inserting M. musculus Neurog2",False,"cell type, no brain-region anchor — DROPPED per spec"
—,glutamatergic neuron (in vitro),in_vitro_differentiated_cells,unknown,CL:0000679,glutamatergic neuron,CHIP_TF,encode,,TOX4,"CL:0000679 TF ChIP-seq TOX4 male adult (30 years) genetically modified (insertion) using CRISPR targeting H. sapiens TOX4, genetically modified (insertion) using TALEN inserting M. musculus Neurog2",False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte of the spinal cord,primary_cell,unknown,CL:0002606,astrocyte of the spinal cord,CHIP_TF,encode,,CTCF,CL:0002606 TF ChIP-seq CTCF,False,"cell type, no brain-region anchor — DROPPED per spec"
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,CHIP_TF,encode,,CTCF,UBERON:0009834 TF ChIP-seq CTCF,True,
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,SPLICE_SITE_USAGE,encode,,,usage_CL:0000047 polyA plus RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,motor neuron (spinal-cord lineage),in_vitro_differentiated_cells,adult,CL:0000100,motor neuron,SPLICE_SITE_USAGE,encode,,,usage_CL:0000100 total RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,SPLICE_SITE_USAGE,encode,,,usage_CL:0000127 total RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,glutamatergic neuron (in vitro),in_vitro_differentiated_cells,adult,CL:0000679,glutamatergic neuron,SPLICE_SITE_USAGE,encode,,,usage_CL:0000679 total RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
Hippocampus,bulk tissue (all cells),tissue,adult,UBERON:0001954,Ammon's horn,SPLICE_SITE_USAGE,gtex,,,usage_UBERON:0001954 gtex Brain_Hippocampus polyA plus RNA-seq,True,
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,SPLICE_SITE_USAGE,gtex,,,usage_UBERON:0009834 gtex Brain_Frontal_Cortex_BA9 polyA plus RNA-seq,True,
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,SPLICE_SITE_USAGE,encode,,,usage_UBERON:0009834 total RNA-seq,True,
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,SPLICE_SITE_USAGE,encode,,,usage_CL:0000047 polyA plus RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,motor neuron (spinal-cord lineage),in_vitro_differentiated_cells,adult,CL:0000100,motor neuron,SPLICE_SITE_USAGE,encode,,,usage_CL:0000100 total RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,SPLICE_SITE_USAGE,encode,,,usage_CL:0000127 total RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,glutamatergic neuron (in vitro),in_vitro_differentiated_cells,adult,CL:0000679,glutamatergic neuron,SPLICE_SITE_USAGE,encode,,,usage_CL:0000679 total RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
Hippocampus,bulk tissue (all cells),tissue,adult,UBERON:0001954,Ammon's horn,SPLICE_SITE_USAGE,gtex,,,usage_UBERON:0001954 gtex Brain_Hippocampus polyA plus RNA-seq,True,
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,SPLICE_SITE_USAGE,gtex,,,usage_UBERON:0009834 gtex Brain_Frontal_Cortex_BA9 polyA plus RNA-seq,True,
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,SPLICE_SITE_USAGE,encode,,,usage_UBERON:0009834 total RNA-seq,True,
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,SPLICE_JUNCTIONS,encode,,,junction_CL:0000047 polyA plus RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,motor neuron (spinal-cord lineage),in_vitro_differentiated_cells,adult,CL:0000100,motor neuron,SPLICE_JUNCTIONS,encode,,,junction_CL:0000100 total RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,SPLICE_JUNCTIONS,encode,,,junction_CL:0000127 total RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,glutamatergic neuron (in vitro),in_vitro_differentiated_cells,adult,CL:0000679,glutamatergic neuron,SPLICE_JUNCTIONS,encode,,,junction_CL:0000679 total RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
Hippocampus,bulk tissue (all cells),tissue,adult,UBERON:0001954,Ammon's horn,SPLICE_JUNCTIONS,gtex,,,junction_UBERON:0001954 gtex Brain_Hippocampus polyA plus RNA-seq,True,
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,SPLICE_JUNCTIONS,gtex,,,junction_UBERON:0009834 gtex Brain_Frontal_Cortex_BA9 polyA plus RNA-seq,True,
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,SPLICE_JUNCTIONS,encode,,,junction_UBERON:0009834 total RNA-seq,True,
